"location","source","target"
"text:family_escape_with_5","You gather your $0, $1, $2, $3, and $4 to leave for Obristan.",""
"text:family_escape_without_1","Your $0 prepares to return to Nirsk.",""
"text:family_escape_without_2","Your $0 and $1 prepare to return to Nirsk.",""
"text:family_escape_without_3","Your $0, $1, and $2 prepare to return to Nirsk.",""
"text:family_escape_without_4","Your $0, $1, $2, and $3 prepare to return to Nirsk.",""
"text:family_escape_without_5","Your $0, $1, $2, $3, and $4 prepare to return to Nirsk.",""
"text:family_flee_final_0","Obristan Above All",""
"text:family_flee_final_1","The safety of your $0 is unknown.",""
"text:family_flee_final_2","The safety of your $0 and $1 is unknown.",""
"text:family_flee_final_3","The safety of your $0, $1, and $2 is unknown.",""
"text:family_flee_final_4","The safety of your $0, $1, $2, and $3 is unknown.",""
"text:family_flee_final_5","The safety of your $0, $1, $2, $3, and $4 is unknown.",""
"text:budget_savings","SAVINGS",""
"text:budget_salary","SALARY ($0)",""
"text:budget_penalties","PENALTIES ($0)",""
"text:budget_bribes","BRIBES",""
"text:budget_rent","RENT",""
"text:budget_food","FOOD",""
"text:budget_heat","HEAT",""
"text:budget_medicine","MEDICINE ($0)",""
"text:budget_sleep","SLEEP",""
"text:budget_escape","ESCAPE",""
"text:menu_back","BACK",""
"text:confirm_ok","OKAY",""
"text:confirm_cancel","CANCEL",""
"text:menu_mainmenu","MAIN MENU",""
"text:menu_resume","RESUME",""
"text:menu_quit","QUIT",""
"text:menu_done","DONE",""
"text:menu_story","STORY",""
"text:menu_endless","ENDLESS",""
"text:menu_play","PLAY",""
"text:menu_fullscreen","Fullscreen",""
"text:menu_nudity","Nudity",""
"text:menu_easy","Easy Mode",""
"text:menu_music","Music",""
"text:menu_sound","Sound",""
"text:menu_dateformat","Date Format",""
"text:menu_language","Language",""
"text:menu_easytip","+ 20 credits per day",""
"text:menu_stats","STATS",""
"text:menu_next","NEXT",""
"text:menu_walktowork","WALK TO WORK",""
"text:menu_paused","PAUSED",""
"text:menu_settings","SETTINGS",""
"text:menu_credits","CREDITS",""
"text:menu_checkforupdates","CHECK FOR UPDATES",""
"text:stats_text","Played for $time
$processed travelers processed
$approved approved
$denied denied
$detained detained
$citations citations earned
$stamps stamps applied
Ending $endnum of $endtotal",""
"text:steam_noinit","STEAM CONNECTION FAILED

If this problem persists, re-install the Steam client.",""
"text:steam_restartfailed","STEAM RESTART FAILED

If this problem persists, re-install the Steam client.",""
"text:steam_noconnect","STEAM CONNECTION FAILED

The game will attempt to restart through the Steam client.",""
"text:steam_restart","RESTART",""
"text:load_title","Select day to continue or start a new game",""
"text:load_confirm_delete_single","Delete this day $0 save?

There is no undo.",""
"text:load_confirm_delete_multi","Delete this save branch from day $0 to day $1?

There is no undo.",""
"text:load_delete","DELETE",""
"text:load_confirm_full","Save tracks full.

Continue from a right-most save or delete a save branch to free up a track.",""
"text:load_summary","Day $day
""$news""

$savings credits, $family family members,
$tokens tokens, apartment $apt",""
"text:load_continue","CONTINUE",""
"text:emotion_happy","HAPPY",""
"text:emotion_ok","OK",""
"text:emotion_sad","SAD",""
"text:emotion_cold","COLD",""
"text:emotion_sick","SICK",""
"text:emotion_verysick","VERY SICK",""
"text:emotion_dead","DEAD",""
"text:emotion_hungry","HUNGRY",""
"text:load_latest","LATEST",""
"text:entry_approved","ENTRY GRANTED",""
"text:entry_denied","ENTRY DENIED",""
"text:stamp_approved","APPROVED",""
"text:stamp_denied","DENIED",""
"text:stamp_reason","REASON",""
"text:booth_dragdocs","DRAG DOCUMENTS HERE",""
"text:booth_highlight","HIGHLIGHT DISCREPANCIES",""
"text:booth_discrepancy","DISCREPANCY
DETECTED",""
"text:booth_interrogate","INTERROGATE",""
"text:booth_matching","MATCHING
DATA",""
"text:booth_nocorrelation","NO
CORRELATION",""
"text:booth_cleared","DISCREPANCY
CLEARED",""
"text:env_clearforentry","Applicant clear for entry",""
"text:env_lettermale","M",""
"text:env_letterfemale","F",""
"text:env_noalias","No known alias",""
"text:env_typochars","aeiou,iuy,pgq,lj,ck,bh",""
"text:endless_complete","$style
$course

$time
$score Points",""
"text:endless_ranked","Ranked #$0",""
"text:endless_unlock","Complete story mode with your job intact to unlock endless mode",""
"text:endless_wrongcode","S O R R Y",""
"text:date_verbose","$month $day, $year",""
"text:month_1","January",""
"text:month_2","February",""
"text:month_3","March",""
"text:month_4","April",""
"text:month_5","May",""
"text:month_6","June",""
"text:month_7","July",""
"text:month_8","August",""
"text:month_9","September",""
"text:month_10","October",""
"text:month_11","November",""
"text:month_12","December",""
"text:day_1","1st",""
"text:day_2","2nd",""
"text:day_3","3rd",""
"text:day_4","4th",""
"text:day_5","5th",""
"text:day_6","6th",""
"text:day_7","7th",""
"text:day_8","8th",""
"text:day_9","9th",""
"text:day_10","10th",""
"text:day_11","11th",""
"text:day_12","12th",""
"text:day_13","13th",""
"text:day_14","14th",""
"text:day_15","15th",""
"text:day_16","16th",""
"text:day_17","17th",""
"text:day_18","18th",""
"text:day_19","19th",""
"text:day_20","20th",""
"text:day_21","21st",""
"text:day_22","22nd",""
"text:day_23","23rd",""
"text:day_24","24th",""
"text:day_25","25th",""
"text:day_26","26th",""
"text:day_27","27th",""
"text:day_28","28th",""
"text:day_29","29th",""
"text:day_30","30th",""
"text:day_31","31st",""
"text:bulletin_default","Arstotzka
Ministry of Admission
Official Bulletin

Inspector,

$content

Glory to Arstotzka.",""
"text:bulletin_notice","Arstotzka
Ministry of Admission
Official Bulletin

NOTICE:

$content

Glory to Arstotzka.",""
"text:bulletin_endless","Arstotzka
Ministry of Admission
Official Bulletin

$style

$course

Glory to Arstotzka.",""
"bulletin:1A","Welcome to your new position at Grestin Border Checkpoint.

Stamp passport ENTRY VISA and return documents to entrant.

Entry is restricted to Arstotzkan citizens only.

Deny all foreigners.",""
"bulletin:2A","From today, foreigners with a valid passport are permitted to enter.

Your booth's INSPECTION hardware is now installed.

Check all passport information carefully for discrepancies. Deny any entrant with inconsistent information.

Continued...[PAGESNOTE]",""
"bulletin:2B","__________________________
INSPECT MODE

Enter INSPECT mode using the red button on your desk. While inspecting, highlight two pieces of discrepant information for further options.

__________________________
RULES &amp; REGULATIONS

This post is bound by Ministry of Admission rules and regulations. Study the rule book closely.",""
"bulletin:3A","Entry for non-citizens is now regulated. 

All foreigners require a valid ENTRY TICKET.

Verify information before stamping passport ENTRY VISA and returning all documents to entrant. [PAGESNOTE]",""
"bulletin:4A","Stricter credential requirements have been instituted.

Arstotzkan citizens must show their ID CARD.

Foreigners must secure and present a valid ENTRY PERMIT.

Entry tickets are no longer sufficient.

Continued...",""
"bulletin:4B","A new chapter detailing document features has been added to your rulebook.

Check all information thoroughly.

Deny any applicant with discrepant documents.

Refer to the AUDIO TRANSCRIPT to correlate entrant's statements.",""
"bulletin:5A","You are now authorized to detain suspicious individuals.

Interrogate discrepancies to enable detention option.",""
"bulletin:6A","The Ministry of Labor has instituted a special program to control immigrant labor.

Travelers entering for work require a valid WORK PASS.",""
"bulletin:7A","To facilitate more thorough inspections, a SEARCH scanner system has been installed in your booth.

Kolechian extremists are suspected in yesterday's bombing. 

Search all Kolechians before approving their entry.",""
"bulletin:8A","The Kolechians have filed a formal complaint. 

A diplomat will arrive today for high-level discussions.

Automatic searches of Kolechian citizens are no longer authorized.

Continued...[PAGESNOTE]",""
"bulletin:8B","__________________________
DIPLOMATS

Diplomats require only a PASSPORT and valid DIPLOMATIC AUTHORIZATION to enter. 

Refer to the rulebook for updated document information.",""
"bulletin:9A","An undercover agent of the Ministry of Information has been compromised.

The Ministry of Admission has offered its services as liaison. Expect a possible drop later today.",""
"bulletin:10A","The divisional authority of East Grestin operations will visit today.

Maintain your best behavior.",""
"bulletin:11A","A break-in at M.O.A. offices may have compromised our document sealing plates.

Nothing important was stolen but intelligence suggests counterfeiters have already begun forging official Arstotzkan documents.

Continued...",""
"bulletin:11B","__________________________
FORGERIES

Double-check that required documents contain valid seals. 

Correlate missing or wrong seals against the appropriate entries in the DOCUMENTS chapter of your rulebook.",""
"bulletin:13A","The new director is unsatisfied with the level of scrutiny afforded to foreigners.

From today forward, all foreign entrants must present a recent IDENTITY SUPPLEMENT listing weight, height, and appearance.

The rulebook DOCUMENTS chapter has been updated.",""
"bulletin:14A","The Ministry of Justice has requested our support.

Daily bulletins will now contain a listing of the top 3 most wanted international criminals.

Check faces against entrants and detain suspects immediately.[PAGESNOTE]",""
"bulletin:16A","The Ministry of Justice has appropriated the outer guard detail. 

You are now responsible for controlling trespasser activity.

The provided key can be used to unlock the tranquilizer gun once an alarm has been raised.

Continued...[PAGESNOTE]",""
"bulletin:16B","__________________________
COMPENSATION

You will receive a bonus for stopping any trespasser. A smaller bonus is provided for firing on, but missing, your target.

__________________________
WEAPONS PROTOCOL

Review instructional diagram on following page.",""
"bulletin:18A","Unfavorable international press has affected immigration protocol.

All denials must be accompanied by a REASON FOR DENIAL stamp.

A new computer inking system has been installed. Interrogate discrepancies to prime the REASON FOR DENIAL stamp.

Continued...",""
"bulletin:18B","__________________________
DENIAL PROTOCOL

REASON FOR DENIAL stamp is activated on first interrogation.

When denying entry, stamp both DENIED and REASON FOR DENIAL on passport.

If applicant clarifies discrepancies sufficiently, approval is authorized even while REASON FOR DENIAL stamp remains available.",""
"bulletin:19A","Impor rejects all imported goods from Arstotzka.

Under request from the Ministry of Trade, the Ministry of Admission will react to this violation.

Deny all travelers from Impor.",""
"bulletin:20A","Impor has relented on their faulty policy.

Imporians are now permitted entry.

The divisional authority of East Grestin operations will visit again today.",""
"bulletin:21A","A special program for political asylum has been established.

Those seeking asylum must carry a valid GRANT OF ASYLUM.

Entrants with such a grant do not require an ENTRY PERMIT or an ID SUPPLEMENT.",""
"bulletin:23A","Your position is important and your responsibilities are broad.

Follow all protocols strictly.",""
"bulletin:24A","Recent events have cast suspicion on the activities of Arstotzkan citizens in the ALTAN district.

The Ministry of Information has requested our cooperation.

A special drawer for confiscating documents has been installed in your booth.

Continued...",""
"bulletin:24B","The rulebook has been updated with information regarding confiscation policy.

Confiscate all Arstotzkan passports from residents living in ALTAN district.

Travelers may still be granted entry if passport is confiscated and no other rules are violated.

PASSPORT SEIZURE slips will be issued to allow entry or denial without a passport.",""
"bulletin:25A","United Federation citizens present a risk of spreading infectious disease.

Deny all entrants from United Federation.

Continue to confiscate Arstotzkan passports from residents living in ALTAN district.",""
"bulletin:26A","The risk of disease is too great. A new protocol has been instituted.

All entrants must carry a valid CERTIFICATE OF VACCINATION with an up-to-date POLIO vaccine.

This requirement extends to natives, foreigners, diplomats, and asylum seekers.

Continued...",""
"bulletin:26B","United Federation citizens are permitted entry with such certification.

Continue to confiscate Arstotzkan passports from residents living in ALTAN district.",""
"bulletin:27A","In order to improve efficiency, the ENTRY PERMIT and ID SUPPLEMENT have been consolidated into a single ACCESS PERMIT.

Foreigners are now required to present a valid ACCESS PERMIT.

Continued...",""
"bulletin:27B","Yesterday's coordinated attack has prompted an emergency meeting. 

An important Kolechian negotiator will arrive today to discuss issues at this checkpoint.

Continue to confiscate Arstotzkan passports from residents living in ALTAN district.",""
"bulletin:28A","In response to continued attacks, the Ministry of Information is expanding the passport confiscation program.

Confiscate all Arstotzkan passports from native entrants.

There are no exceptions.

Do not confiscate foreign passports.",""
"bulletin:29A","[NOTICE] All government workers are subject to a thorough information audit. Involvement with unauthorized groups is grounds for immediate arrest.

Your audit is scheduled for: DECEMBER 24

DO NOT LEAVE YOUR DESIGNATED REGION.

Continued...",""
"bulletin:29B","Continue to confiscate all Arstotzkan passports from native entrants.",""
"bulletin:30A","[NOTICE] All government workers are subject to a thorough information audit. Involvement with unauthorized groups is grounds for immediate arrest.

Your audit is scheduled for: DECEMBER 24

DO NOT LEAVE YOUR DESIGNATED REGION.

Continued...",""
"bulletin:30B","Continue to confiscate all Arstotzkan passports from native entrants.",""
"bulletin:31A","The Ministry of Admission is involved in discussions regarding the closure of this checkpoint.

Until a decision is made, maintain your duties as ordered.

Continued...",""
"bulletin:31B","You are scheduled for an information audit tomorrow morning.

DO NOT LEAVE YOUR DESIGNATED REGION.

Continue to confiscate all Arstotzkan passports from native entrants.",""
"facts","$paper: Invalid $fact",""
"facts","Missing $paper",""
"facts","$0 DISTRICT",""
"facts","Presence",""
"facts","Sufficience",""
"facts","Excellence",""
"facts","Obristan",""
"facts","Antegria",""
"facts","Republia",""
"facts","UnitedFed",""
"facts","Impor",""
"facts","Kolechia",""
"facts","Arstotzka",""
"facts","Skal",""
"facts","Lorndaz",""
"facts","Mergerous",""
"facts","St. Marmero",""
"facts","Glorian",""
"facts","Outer Grouse",""
"facts","True Glorian",""
"facts","Lesrenadi",""
"facts","Bostan",""
"facts","Great Rapid",""
"facts","Shingleton",""
"facts","Korista City",""
"facts","Enkyo",""
"facts","Haihan",""
"facts","Tsunkeido",""
"facts","Yurko City",""
"facts","Vedor",""
"facts","West Grestin",""
"facts","Orvech Vonor",""
"facts","East Grestin",""
"facts","Paradizna",""
"facts","Passport",""
"facts","Entry Ticket",""
"facts","Entry Permit",""
"facts","Work Pass",""
"facts","Id Card",""
"facts","Id Supplement",""
"facts","Access Permit",""
"facts","Diplomatic Auth",""
"facts","Asylum Grant",""
"facts","Vaccine Cert",""
"facts","Identity Record",""
"facts","Fingerprints",""
"facts","Name",""
"facts","Id Number",""
"facts","Expiration Date",""
"facts","Issuing City",""
"facts","Birth Date",""
"facts","Alias",""
"facts","Height",""
"facts","Weight",""
"facts","Description",""
"facts","Thumbprint",""
"facts","Date",""
"facts","Purpose",""
"facts","Duration",""
"facts","Face",""
"facts","District",""
"facts","Gender",""
"facts","Work End Date",""
"facts","Altan",""
"facts","Vescillo",""
"facts","Burnton",""
"facts","Octovalis",""
"facts","Gennistora",""
"facts","Lendiforma",""
"facts","Wozenfield",""
"facts","Fardesto",""
"facts","DENTISTRY",""
"facts","HEALTH-CARE",""
"facts","GENERAL-LABOR",""
"facts","ENGINEERING",""
"facts","SPORTS",""
"facts","ARCHITECTURE",""
"facts","FOOD-SERVICE",""
"facts","AVIATION",""
"facts","ACCOUNTING",""
"facts","FISHING",""
"facts","DRAFTING",""
"facts","RESEARCH",""
"facts","FINE-ARTS",""
"facts","AGRICULTURE",""
"facts","MANUFACTURING",""
"facts","CONSTRUCTION",""
"facts","SURVEYING",""
"facts","STATISTICS",""
"facts","POLIO",""
"facts","HPV",""
"facts","COWPOX",""
"facts","TETANUS",""
"facts","YEL.FEV.",""
"facts","CHOLERA",""
"facts","RUBELLA",""
"facts","HEP-B",""
"facts","MEASLES",""
"facts","TUBERC.",""
"facts","2 DAYS",""
"facts","14 DAYS",""
"facts","1 MONTH",""
"facts","2 MONTHS",""
"facts","3 MONTHS",""
"facts","6 MONTHS",""
"facts","1 YEAR",""
"facts","FOREVER",""
"facts","visit",""
"facts","transit",""
"facts","work",""
"facts","immigrate",""
"facts","Possible Smuggler Admitted",""
"facts","Missing documents",""
"facts","Wanted criminal admitted",""
"facts","Incorrect purpose response",""
"facts","Incorrect visit duration response",""
"facts","Passport: Non-matching photo",""
"facts","Forged Entry Permit",""
"facts","Forged Work Pass",""
"facts","Id Card: Non-matching photo",""
"facts","Forged Access Permit",""
"facts","No Diplomatic Access to Arstotzka",""
"facts","Forged Diplomatic Auth",""
"facts","Forged Asylum Grant Seal",""
"facts","Necessary vaccine expired",""
"facts","Missing necessary vaccine",""
"facts","Name does not match record",""
"facts","Alias does not match record",""
"facts","Fingerprints do not match record",""
"facts","Cobrastan is not a real country",""
"facts","No entry from Antegria",""
"facts","No entry from Arstotzka",""
"facts","No entry from Republia",""
"facts","No entry from United Fed",""
"facts","No entry from Obristan",""
"facts","No entry from Impor",""
"facts","No entry from Kolechia",""
"facts","Possible Terrorist Admitted",""
"facts","Entrant Holds Conflicting Passports",""
"facts","Entrant must have a passport",""
"facts","Foreigners require an entry permit",""
"facts","Foreigners require an entry ticket",""
"facts","All documents must be current",""
"facts","Workers must have a work pass",""
"facts","Citizens must have an id card",""
"facts","Foreigners require an id supplement",""
"facts","Arstotzkan citizens only",""
"facts","No entry from United Federation",""
"facts","No weapons or contraband",""
"facts","All Kolechians must be searched",""
"facts","Diplomats require authorization",""
"facts","Entrant must have polio vaccine cert",""
"facts","Asylum seekers must have a grant",""
"facts","Foreigners require an access permit",""
"facts","CONFISCATE ARSTOTZKAN PASSPORTS BELONGING TO ALTAN RESIDENTS.",""
"facts","CONFISCATE ALL ARSTOTZKAN PASSPORTS. NO EXCEPTIONS.",""
"facts","Passport not confiscated",""
"paper:SecondPassport","West Grestin",""
"paper:Rules","Basic Rules",""
"paper:Rules","Regional Map",""
"paper:Rules","Booth Info",""
"paper:Rules","Documents",""
"paper:Rules","Confiscation",""
"paper:Rules","Obristan",""
"paper:Rules","Antegria",""
"paper:Rules","Republia",""
"paper:Rules","United",""
"paper:Rules","Federation",""
"paper:Rules","Impor",""
"paper:Rules","Kolechia",""
"paper:Rules","Arstotzka",""
"paper:Rules","ANTEGRIA",""
"paper:Rules","ARSTOTZKA",""
"paper:Rules","IMPOR",""
"paper:Rules","KOLECHIA",""
"paper:Rules","OBRISTAN",""
"paper:Rules","REPUBLIA",""
"paper:Rules","UNITED FED.",""
"paper:Rules","Id Card (Native)",""
"paper:Rules","Entry Permit",""
"paper:Rules","Id Supplement",""
"paper:Rules","Access Permit",""
"paper:Rules","Work Pass",""
"paper:Rules","Diplomatic Auth.",""
"paper:Rules","Grant of Asylum",""
"paper:Rules","Vaccine Cert.",""
"intro","Congratulations.",""
"intro","The October labor lottery is complete. Your name was pulled.",""
"intro","For immediate placement, report to the Ministry of Admission at Grestin Border Checkpoint.",""
"intro","An apartment will be provided for you and your family in East Grestin. Expect a Class-8 dwelling.",""
"intro","Glory to Arstotzka.",""
"end:in-debt","Arstotzka has zero tolerance for delinquency.",""
"end:in-debt","Your family will be sent back to their village.",""
"end:in-debt","You are under arrest until your debts are repaid.",""
"end:in-debt","A replacement inspector will be found easily.",""
"end:in-debt","Glory to Arstotzka.",""
"end:family-dead","Your entire family is gone.",""
"end:family-dead","The Ministry Of Labor focuses on Arstotzka's future growth.",""
"end:family-dead","Workers are expected to support large healthy families.",""
"end:family-dead","Your position will be filled by someone more appropriate.",""
"end:family-dead","Glory to Arstotzka.",""
"end:turned-over-ezic-docs","You are under arrest for associating with suspicious groups.",""
"end:turned-over-ezic-docs","The Ministry of Information will perform a full audit of your recent activities.",""
"end:turned-over-ezic-docs","Glory to Arstotzka.",""
"end:caught-with-ezic-money","The Ministry of Income has discovered an anomaly in your earnings.",""
"end:caught-with-ezic-money","You are under arrest pending a full audit of your recent activities.",""
"end:caught-with-ezic-money","Your family will likewise be held for questioning.",""
"end:caught-with-ezic-money","The border will remain open under a replacement inspector.",""
"end:caught-with-ezic-money","Glory to Arstotzka.",""
"end:killed-innocent","You are under arrest for the murder of an innocent.",""
"end:killed-innocent","The penalty is death.",""
"end:killed-innocent","Your family will be questioned about their involvement.",""
"end:killed-innocent","The border will remain open under a replacement inspector.",""
"end:killed-innocent","Glory to Arstotzka.",""
"end:tranqed-innocent","You are under arrest for attacking an innocent.",""
"end:tranqed-innocent","The penalty is forced labor.",""
"end:tranqed-innocent","Your family will be questioned about their involvement.",""
"end:tranqed-innocent","The border will remain open under a replacement inspector.",""
"end:tranqed-innocent","Glory to Arstotzka.",""
"end:killed-guard","You are under arrest for the murder of an Arstotzkan official.",""
"end:killed-guard","The penalty is death.",""
"end:killed-guard","Your family will be questioned about their involvement.",""
"end:killed-guard","The border will remain open under a replacement inspector.",""
"end:killed-guard","Glory to Arstotzka.",""
"end:tranqed-guard","You are under arrest for attacking an Arstotzkan official.",""
"end:tranqed-guard","The penalty is death.",""
"end:tranqed-guard","Your family will be questioned about their involvement.",""
"end:tranqed-guard","The border will remain open under a replacement inspector.",""
"end:tranqed-guard","Glory to Arstotzka.",""
"end:killed-target","You are under arrest for the murder of an innocent.",""
"end:killed-target","The penalty is death.",""
"end:killed-target","Your family will be questioned about their involvement.",""
"end:killed-target","The border will remain open under a replacement inspector.",""
"end:killed-target","Glory to Arstotzka.",""
"end:killed-target","[A note appears from under the cell door]",""
"end:killed-target","INSPECTOR - FAMILY IS SAFE - TARGET ELIMINATED BUT OTHER PROBLEMS ARISE",""
"end:killed-target","REPLACEMENT INSPECTOR NOT COOPERATIVE - EZIC ACTIVITIES HINDERED",""
"end:killed-target","WE CANNOT PROVIDE FURTHER SUPPORT - EZIC TO HIBERNATE AGAIN",""
"end:killed-target","FAMILY WILL BE TAKEN TO OBRISTAN - GOOD LUCK",""
"end:tranqed-target","You are under arrest for attacking an innocent.",""
"end:tranqed-target","The penalty is forced labor.",""
"end:tranqed-target","Your family will be questioned about their involvement.",""
"end:tranqed-target","The border will remain open under a replacement inspector.",""
"end:tranqed-target","Glory to Arstotzka.",""
"end:tranqed-target","[A note appears from under the cell door]",""
"end:tranqed-target","INSPECTOR - FAMILY IS SAFE - TARGET HAS RECOVERED IN HOSPITAL",""
"end:tranqed-target","REPLACEMENT INSPECTOR NOT COOPERATIVE - EZIC ACTIVITIES HINDERED",""
"end:tranqed-target","WE CANNOT PROVIDE FURTHER SUPPORT - EZIC TO HIBERNATE AGAIN",""
"end:tranqed-target","FAMILY WILL BE TAKEN TO OBRISTAN - GOOD LUCK",""
"end:stuff-on-walls","You are under arrest for violating direct orders.",""
"end:stuff-on-walls","The penalty is forced labor.",""
"end:stuff-on-walls","Your family will be sent back to their village.",""
"end:stuff-on-walls","The border will remain open under a replacement inspector.",""
"end:stuff-on-walls","Glory to Arstotzka.",""
"end:arrested-boss-buddy","Your supervisor has reported you for theft of Arstotzkan property.",""
"end:arrested-boss-buddy","The penalty is forced labor.",""
"end:arrested-boss-buddy","Your family will be sent back to their village.",""
"end:arrested-boss-buddy","The border will remain open under a replacement inspector.",""
"end:arrested-boss-buddy","Glory to Arstotzka.",""
"end:wall-destroyed","The Grestin Border wall has been destroyed.",""
"end:wall-destroyed","You are under arrest for failure to defend the checkpoint.",""
"end:wall-destroyed","Your family will be sent back to their village.",""
"end:wall-destroyed","The border will reopen under a replacement inspector.",""
"end:wall-destroyed","Glory to Arstotzka.",""
"end:help-ezic-kill-attackers-wall-safe","Hello inspector.",""
"end:help-ezic-kill-attackers-wall-safe","We have audited your recent activities.",""
"end:help-ezic-kill-attackers-wall-safe","Your involvement with a group calling themselves THE ORDER OF THE EZIC STAR has been uncovered.",""
"end:help-ezic-kill-attackers-wall-safe","Several members of this group have been arrested in Arstotzka.",""
"end:help-ezic-kill-attackers-wall-safe","At least one EZIC member has confessed to receiving your help.",""
"end:help-ezic-kill-attackers-wall-safe","This represents treason of the highest order.",""
"end:help-ezic-kill-attackers-wall-safe","Goodbye inspector.",""
"end:help-ezic-kill-attackers-wall-safe","The execution is scheduled for tonight.",""
"end:help-ezic-kill-attackers-wall-safe","Your family's safety is unknown.",""
"end:help-ezic-kill-attackers-wall-safe","EZIC has been crushed. The balance of justice is restored.",""
"end:help-ezic-kill-attackers-wall-safe","Glory to Arstotzka.",""
"end:help-ezic-kill-attackers-wall-safe","[A note appears from under the cell door]",""
"end:help-ezic-kill-attackers-wall-safe","INSPECTOR - YOU HAVE BETRAYED US AT THE LAST MOMENT",""
"end:help-ezic-kill-attackers-wall-safe","THIS CHAPTER OF EZIC IS OVER - WE CAN OFFER NO HELP TO YOUR FAMILY",""
"end:help-ezic-kill-attackers-wall-destroyed","The border has been pierced.",""
"end:help-ezic-kill-attackers-wall-destroyed","It is a glorious day for THE ORDER OF THE EZIC STAR but you have betrayed us at the last moment.",""
"end:help-ezic-kill-attackers-wall-destroyed","EZIC grows strong while the corrupt and greedy weaken.",""
"end:help-ezic-kill-attackers-wall-destroyed","Your betrayal means you have chosen the wrong side.",""
"end:help-ezic-kill-attackers-wall-destroyed","There is no place for you or your family in this revolution.",""
"end:help-ezic-kill-attackers-wall-destroyed","Goodbye inspector.",""
"end:help-ezic-kill-attackers-wall-destroyed","Glory to the New Arstotzka.",""
"end:help-few-ezic","Hello inspector.",""
"end:help-few-ezic","We have audited your recent activities.",""
"end:help-few-ezic","Your involvement with a group calling themselves THE ORDER OF THE EZIC STAR has been uncovered.",""
"end:help-few-ezic","Several members of this group have been arrested in Arstotzka.",""
"end:help-few-ezic","At least one EZIC member has confessed to receiving your help.",""
"end:help-few-ezic","This represents treason of the highest order.",""
"end:help-few-ezic","Goodbye inspector.",""
"end:help-few-ezic","The execution is scheduled for tonight.",""
"end:help-few-ezic","Your family's safety is unknown.",""
"end:help-few-ezic","EZIC has been crushed. The balance of justice is restored.",""
"end:help-few-ezic","Glory to Arstotzka.",""
"end:escape","You board the late train to the Northern Territories. It is nearly empty.",""
"end:escape","You pay for the hastily forged passport and re-entry ticket. They look terrible.",""
"end:escape","You pay for the hastily forged passports and re-entry tickets. They look terrible.",""
"end:escape","You reach the border crossing at dawn. The line is immense.",""
"end:escape","Six hours later.",""
"end:escape","Your documents.",""
"end:escape","Here.",""
"end:escape","You are entering alone?",""
"end:escape","Yes.",""
"end:escape","I come to visit relatives.",""
"end:escape","No, my family as well.",""
"end:escape","Hand over all documents now.",""
"end:escape","We come to visit relatives.",""
"end:escape","I do not care why you come. Wait here.",""
"end:escape","*KACHUNK*",""
"end:escape","Welcome to Obristan. Next!",""
"end:help-ezic-hold-fire","Inspector! It is a glorious day!",""
"end:help-ezic-hold-fire","The border has been pierced.",""
"end:help-ezic-hold-fire","EZIC grows strong while the corrupt and greedy weaken.",""
"end:help-ezic-hold-fire","We are moving you and your family to a better home.",""
"end:help-ezic-hold-fire","Your services as an inspector are no longer required. We need agents.",""
"end:help-ezic-hold-fire","Follow us and together we will complete the revolution!",""
"end:help-ezic-hold-fire","Glory to the New Arstotzka.",""
"end:ignore-ezic","Hello inspector.",""
"end:ignore-ezic","We have audited your activities for the past 20 years.",""
"end:ignore-ezic","There are some anomalies.",""
"end:ignore-ezic","But you have served Arstotzka well.",""
"end:ignore-ezic","We will overlook these small transgressions.",""
"end:ignore-ezic","You have been cleared of any suspicion.",""
"end:ignore-ezic","Glory to Arstotzka.",""
"end:ignore-ezic","A new agreement has been reached with Kolechia.",""
"end:ignore-ezic","Grestin Border Checkpoint will reopen soon.",""
"end:ignore-ezic","Return to your post on January 1st.",""
"end:ignore-ezic","ENDLESS UNLOCK CODE: 62131",""
"endless:timed","Timed",""
"endless:timed","Process as many travelers as possible in 10 minutes.",""
"endless:timed","ENDLESS - TIMED

Process as many travelers as possible in 10 minutes. One point per traveler. Lose 30 seconds for each citation.",""
"endless:perfection","Perfection",""
"endless:perfection","Game over at first penalty. Earn dwindling points.",""
"endless:perfection","ENDLESS - PERFECTION

Earn points for processing travelers. No citations allowed. Ten points per traveler in the first minute, one less point for each minute that passes. Work quickly.",""
"endless:endurance","Endurance",""
"endless:endurance","Play until balance goes negative. Avoid penalties.",""
"endless:endurance","ENDLESS - ENDURANCE

Process travelers until your balance drops below zero. Citations penalize an escalating number of points. The highest achieved points are remembered for scoring.",""
"endless:course1","Course 1",""
"endless:course2","Course 2",""
"endless:course3","Course 3",""
"endless:course4","Course 4",""
"bullend:1A","Check rulebook for rules in effect.",""
"bullend:2A","Check rulebook for rules in effect.",""
"bullend:3A","Check rulebook for rules in effect. REASON FOR DENIAL stamp is required when denying entry.",""
"bullend:4A","Check rulebook for rules in effect. REASON FOR DENIAL stamp is required when denying entry.",""
"night:MANAGE_EXPENSES","Manage your expenses using the checkboxes below.",""
"night:AFTER_6PM","Applicants entering after 6PM are unpaid.",""
"night:PROGRESS_SAVED","Progress is saved at the start of each day.",""
"night:ATTACK_DIDNOTHING","The day was cut short by a terrorist attack.",""
"night:ATTACK_FIREDGUN","The day was cut short by a terrorist attack.",""
"night:ATTACK_FIREDGUN","TRIGGER BONUS",""
